1_EVT|18:10:25
1_SYS1_1|0
1_SYS1_2|00000000
1_SYS2_1|0
1_SYS2_2|00000000
1_SYS3|0
1_OWD1_1|46433
1_OWD1_2|1191
1_OWD1_3|0
1_OWD1_4|490
1_OWD2_1|0
1_OWD2_2|00000000
1_OWD2_3|9
1_OWD2_4|00001001
1_OWD3_1|0
1_OWD3_2|00000000
1_OWD3_3|0
1_OWD3_4|00000000
1_OWD4_1|0
1_OWD4_2|00000000
1_OWD4_3|0
1_OWD4_4|00000000
1_OWD5_1|0
1_OWD5_2|00000000
1_OWD5_3|0
1_OWD5_4|0
1_OWD6_1|0
1_OWD6_2|00000000
1_OWD6_3|0
1_OWD6_4|00000000
1_OWD7_1|0
1_OWD7_2|00000000
1_OWD7_3|0
1_OWD7_4|00000000
1_OWD8_1|0
1_OWD8_2|00000000
1_OWD8_3|0
1_OWD8_4|00000000
1_OWD9_1|0
1_OWD9_2|00000000
1_OWD9_3|0
1_OWD9_4|0
1_OWD10_1|0
1_OWD10_2|00000000
1_OWD10_3|0
1_OWD10_4|0
1_OWD11_1|0
1_OWD11_2|00000000
1_OWD11_3|0
1_OWD11_4|00000000
1_OWD12_1|0
1_OWD12_2|00000000
1_OWD12_3|0
1_OWD12_4|00000000
1_OWD13_1|0
1_OWD13_2|00000000
1_OWD13_3|0
1_OWD13_4|00000000
1_OWD14_1|0
1_OWD14_2|00000000
1_OWD14_3|132
1_OWD14_4|10000100
